DBN,Year,PreK,Kindergarten,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Ungraded,Total,SCC,CTT,other,bilingual,dualLang,esl,ELLwithIEP,overage,nativeAmerican,black,latino,asian,white,male,female,attendance,stability,povertyRate,temporaryHousing,immigrants,principalSuspensions,superintendentSuspensions,cte,earlyCollege,teachers,admin,paraprofessionals,fullyLicensed,moreThanTwoTeaching,moreThanFiveTeaching,mastersDegreeOrHigher,coreClassHighlyQualifiedTeacher
22K278,2008,0,0,0,0,0,0,0,279,386,395,0,0,0,0,8,1068,35,65,34,0,0,44,7,7,0.5,55.4,13.5,4.7,25.9,47.3,52.7,91.6,94.6,57.7,17,7,52,17,0,0,79,17,10,100,68.4,65.8,80,98.9
22K312,2008,63,133,128,130,144,132,133,0,0,0,0,0,0,0,2,865,24,65,49,0,0,34,0,0,0.5,29,8.1,4,58.4,52.5,47.5,94.7,96.4,37.4,7,3,25,3,0,0,64,25,10,100,79.7,73.4,83,98.8
22K315,2008,28,105,138,138,138,179,113,0,0,0,0,0,0,0,2,841,24,26,28,0,0,96,0,0,0.7,74.4,17.8,3.7,3.3,48.3,51.7,93.8,95.4,88.5,8,3,39,16,0,0,55,13,5,100,69.1,60,84,82.6
22K326,2008,50,103,138,0,0,0,0,0,0,0,0,0,0,0,0,291,0,10,9,0,0,46,0,0,1,68,14.1,14.1,2.8,49.1,50.9,,94.2,69.8,1,7,4,7,0,0,25,5,2,100,68,56,80,91.3
22K337,2008,0,0,0,0,0,0,0,0,0,0,70,79,78,0,0,227,0,0,0,0,0,190,0,20,0,37.4,35.7,14.1,12.8,57.3,42.7,92.6,84.6,94.8,2,50,42,1, TBD ,0,16,3,0,100,6.3,18.8,75,100
22K361,2008,56,178,215,191,0,0,0,0,0,0,0,0,0,0,4,644,38,24,14,0,0,51,0,0,0.2,87.7,8.5,0.9,2.6,49.7,50.3,,88.9,89.7,6,1,0,8,0,0,55,11,9,100,69.1,54.5,76,78.3
22K381,2008,0,0,0,0,0,0,0,173,138,103,0,0,0,0,8,422,9,26,15,0,0,21,0,0,0,60.9,15.2,7.6,16.4,49.8,50.2,94.3,98.3,49.5,0,8,9,11,0,0,32,8,3,100,90.6,68.8,94,97.7
22K405,2008,0,0,0,0,0,0,0,0,0,0,1115,1116,682,849,0,3762,61,59,47,11,0,112,0,28,0.2,39.6,9.3,27.1,23.8,45,55,93.2,99.1,19,8,21,97,19, TBD ,0,181,46,9,98.9,87.8,75.5,89,97.8
22K425,2008,0,0,0,0,0,0,0,0,0,0,1022,1260,675,870,1,3828,128,109,133,0,0,289,22,152,0.1,26.8,14.7,16.1,42.2,54.1,45.9,90.1,96.3,30.1,5,82,97,50, TBD ,0,200,64,6,99,89.1,70.3,90,93.8
22K535,2008,0,0,0,0,0,0,0,0,0,0,271,292,219,243,0,1025,0,28,28,0,0,9,1,3,0.1,16.7,8.3,12.1,62.8,46.2,53.8,93.1,99.2,23.3,1,4,12,3, TBD ,0,53,18,0,100,78.2,69.1,85,92.7
22K555,2008,0,0,0,0,0,0,0,0,35,33,153,134,124,123,0,602,0,0,6,0,0,0,0,2,0.2,85.4,9.5,1.7,3.3,34.9,65.1,96.0/94.7,98,42.3,0,0,12,3, TBD ,1,31,11,1,100,64.5,58.1,81,100
23K041,2008,0,52,77,93,84,69,92,98,86,106,0,0,0,0,5,762,43,10,48,0,0,24,0,3,0.8,77.4,20.6,0.4,0.8,51,49,89.9,93.2,87.2,11,1,32,14,0,0,62,13,3,100,66.1,56.5,79,93.9
23K073,2008,41,51,69,70,66,62,45,42,60,48,0,0,0,0,3,557,44,18,25,0,0,12,0,6,0.5,87.8,10,1.1,0.5,51.7,48.3,90.4,86,85.5,22,0,4,17,0,0,49,11,7,100,71.4,55.1,76,94
23K150,2008,25,49,58,71,54,71,72,60,54,53,0,1,0,0,4,572,63,0,21,0,0,45,0,4,0.5,73.6,25.7,0,0.2,52.6,47.4,85.3,85.5,96.7,48,7,9,11, TBD ,0,46,11,6,100,71.7,52.2,87,82.1
23K155,2008,28,62,60,70,90,70,61,59,69,57,0,0,0,0,4,630,59,0,34,3,0,86,1,1,0.2,64.3,34.4,0.6,0.5,51.1,48.9,90.3,89.2,91.3,18,9,4,3,0,0,58,13,1,100,69,69,84,77.2
23K156,2008,36,108,144,168,140,164,139,0,0,0,0,0,0,0,5,904,36,10,29,0,0,28,0,0,0.4,82.6,15.7,0.9,0.3,48.8,51.2,91.5,91.3,91.4,16,2,4,5,0,0,60,12,10,100,66.7,53.3,80,96.8
23K165,2008,35,47,80,81,103,69,64,76,63,49,0,0,0,0,5,672,60,8,24,0,0,8,1,2,0.3,91.1,7.7,0.3,0.6,55.5,44.5,90.9,91.7,81.6,28,1,7,17,0,0,54,10,9,100,50,48.1,83,89.2
23K178,2008,33,77,89,66,67,68,58,70,67,50,0,0,0,0,8,653,33,26,24,0,0,21,0,1,1.1,85.9,11.2,0.8,1.1,52.1,47.9,91,89.5,85.4,26,0,0,5,0,0,47,11,4,100,55.3,46.8,81,97.6
23K183,2008,36,52,68,80,91,73,88,75,79,75,0,0,0,0,7,724,70,7,19,0,0,22,2,4,0.7,88.4,9.4,1.1,0.4,53,47,88.7,85.8,77.8,19,1,15,45,0,0,58,15,2,100,65.5,50,72,68.6
23K184,2008,35,46,42,30,50,61,58,59,66,63,0,0,0,0,3,513,51,11,29,0,0,17,3,1,0.8,78.2,20.5,0.4,0.2,58.3,41.7,89.1,88.3,86.2,28,2,97,27,0,0,44,10,7,100,65.9,56.8,73,70.1
23K284,2008,20,53,76,79,74,72,61,81,77,67,0,0,0,0,13,673,67,0,38,0,0,24,1,3,0.3,80.5,19.2,0,0,51.3,48.7,88.9,91.7,76.4,14,2,5,16,0,0,57,17,3,100,57.9,49.1,68,76.3
