DBN,Year,PreK,Kindergarten,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Ungraded,Total,SCC,CTT,other,bilingual,dualLang,esl,ELLwithIEP,overage,nativeAmerican,black,latino,asian,white,male,female,attendance,stability,povertyRate,temporaryHousing,immigrants,principalSuspensions,superintendentSuspensions,cte,earlyCollege,teachers,admin,paraprofessionals,fullyLicensed,moreThanTwoTeaching,moreThanFiveTeaching,mastersDegreeOrHigher,coreClassHighlyQualifiedTeacher
04M007,2008,35,41,44,44,51,47,49,54,49,47,0,0,0,0,1,462,37,0,26,0,0,78,3,2,0.6,34.2,61.5,2.2,1.5,48,52,91.2,94.6,90,6,8,28,14,0,0,40,10,3,100,52.5,47.5,73,96.2
04M012,2008,0,47,41,48,43,54,58,56,56,56,0,0,0,0,0,459,0,0,3,0,0,0,0,0,0.4,61,30.3,5.7,2.6,39,61,94.8,94.3,48.5,0,0,2,2,0,0,24,3,0,100,50,33.3,79,84.6
04M037,2008,0,32,32,27,22,17,19,0,0,0,0,0,0,0,0,149,0,6,12,0,0,7,0,0,0,62.4,37.6,0,0,49,51,90.8,91.1,60.2,9,0,0,5,0,0,15,5,1,100,13.3,0,93,83.3
04M038,2008,35,47,64,57,62,63,41,0,0,0,0,0,0,0,9,378,12,42,21,15,0,36,0,0,0.3,28,65.1,3.2,3.4,48.4,51.6,89.7,89,77.6,8,3,0,9,0,0,40,10,0,100,62.5,55,80,91.9
04M045,2008,0,0,0,0,0,0,0,105,155,179,0,0,0,0,2,441,50,18,44,90,0,14,0,15,1.6,38.3,59.4,0.7,0,54.4,45.6,85.3,90.2,96.2,7,14,97,47,0,0,48,15,2,100,66.7,58.3,81,95.6
04M050,2008,0,36,49,56,53,51,62,82,70,44,0,0,0,0,2,505,46,48,46,0,0,58,2,1,0.6,40,56.4,1.8,1.2,52.3,47.7,89.1,88.5,85.2,7,2,59,44,0,0,58,12,2,100,39.7,39.7,69,85.9
04M057,2008,36,78,83,104,99,104,83,38,42,36,0,0,0,0,3,706,35,41,36,48,0,105,8,0,1.1,23,69.7,4.7,1.6,50.1,49.9,92.5,92.9,82.6,16,7,1,7,0,0,56,13,6,100,71.4,53.6,88,95.8
04M083,2008,18,71,64,70,73,78,50,0,0,0,0,0,0,0,2,426,8,0,24,0,0,37,0,0,0.5,33.6,55.6,8.2,2.1,50.7,49.3,93.1,96.2,97.3,7,7,1,0,0,0,34,5,4,100,58.8,52.9,74,88.2
04M096,2008,35,59,63,75,69,87,83,76,65,59,0,0,0,0,0,671,50,0,60,0,0,55,0,0,0.4,27,70.8,0.3,1.5,48.4,51.6,90,95.7,97.4,25,2,6,5,0,0,49,12,3,98,77.6,63.3,90,98.2
04M101,2008,35,40,50,46,51,52,45,72,70,62,0,0,0,0,6,529,72,35,50,0,22,48,6,4,1.9,32.5,61.6,2.3,1.7,51.6,48.4,91.1,90.4,85.5,23,7,1,48,0,0,52,12,8,100,55.8,44.2,75,73.6
04M102,2008,35,66,59,56,33,50,47,0,0,0,0,0,0,0,8,354,48,25,33,28,0,46,0,0,0.3,30.2,66.4,1.4,1.7,54.2,45.8,91.3,92.4,91.8,8,5,7,2,0,0,36,11,6,100,80.6,58.3,89,94.7
04M108,2008,18,63,75,74,76,86,92,113,108,74,0,0,0,0,0,779,52,0,64,0,0,118,0,2,0.4,32.7,64.3,1.7,0.9,50.6,49.4,91.7,95.9,87.3,6,9,49,19,0,0,55,11,2,100,74.5,67.3,85,78.6
04M112,2008,35,88,108,104,1,0,0,0,0,0,0,0,0,0,6,342,24,46,28,48,0,34,2,0,1.8,32.8,59.9,1.2,4.4,55.3,44.7,,91.3,85.8,8,2,0,1,0,0,51,14,1,100,70.6,62.7,96,100
04M117,2008,0,0,0,0,0,0,0,118,109,150,0,0,0,0,31,408,65,0,46,31,0,50,0,6,2.2,37.8,57.1,1,2,56.1,43.9,88.5,89.6,75.1,18,13,31,37,0,0,37,18,6,100,37.8,40.5,81,61.7
04M146,2008,29,71,76,70,82,54,63,0,0,0,0,0,0,0,38,483,102,38,34,0,0,87,4,0,0,30.2,65.4,3.1,1.2,51.1,48.9,91.7,88,96.4,12,7,46,7,0,0,57,33,15,100,49.1,28.1,79,92.7
04M155,2008,25,71,50,59,59,64,59,0,0,0,0,0,0,0,1,388,24,17,30,43,115,30,0,0,0,16,82.2,1,0.8,53.1,46.9,93.8,93.7,97.7,8,28,5,1,0,0,41,11,4,100,97.6,73.2,95,88.6
04M171,2008,36,63,64,51,52,80,72,86,65,53,0,0,0,0,19,641,23,10,40,0,0,32,3,2,0.2,34.8,60.7,2.5,1.9,49.8,50.2,92.1,95.5,78.8,6,2,32,9,0,0,48,11,2,100,50,41.7,81,89.6
04M182,2008,0,61,68,75,75,73,79,0,0,0,0,0,0,0,4,435,0,0,34,120,0,0,0,0,0.2,8.5,90.6,0.7,0,47.6,52.4,92.9,92.3,97.6,0,0,5,1,0,0,31,4,1,100,80.6,74.2,87,93.1
04M206,2008,0,0,0,0,68,96,96,0,0,0,0,0,0,0,0,260,37,7,31,21,0,31,3,0,0.4,32.3,65,2.3,0,56.2,43.8,92.2,95.8,88,4,0,2,0,0,0,27,8,2,100,92.6,77.8,89,100
04M224,2008,0,0,0,0,0,0,0,87,93,86,0,0,0,0,0,266,24,0,1,0,0,0,6,2,0,31.2,44.4,5.6,18.8,45.1,54.9,93.8,97,48.7,0,0,39,0,0,0,17,3,0,100,41.2,29.4,82,79.8
04M435,2008,0,0,0,0,0,0,0,0,0,0,458,463,377,269,2,1569,111,0,29,41,0,46,27,14,0.5,20,58.2,18.6,2.7,51,49,94.2,97.8,62.2,1,29,32,9, TBD ,0,81,25,5,100,69,53.6,83,96.4
04M497,2008,17,27,40,26,28,25,26,0,0,0,0,0,0,0,0,189,0,0,26,0,0,4,0,0,0,51.8,27,2.6,18.5,49.7,50.3,91.8,94.2,41,0,0,0,0,0,0,15,3,1,100,66.7,53.3,80,92.3
04M555,2008,0,0,0,0,0,0,0,0,0,0,124,96,40,51,0,311,2,18,33,0,0,29,1,8,0.3,36.3,57.2,3.2,2.9,50.8,49.2,89.5,96.2,73.7,4,6,114,24, TBD ,0,22,8,1,100,60.9,34.8,74,94.4
04M610,2008,0,0,0,0,0,0,0,0,72,77,75,77,55,50,0,406,0,0,18,0,0,7,0,0,0.7,34.2,60.8,2.7,1.5,0,100,96.0/94.1,98.7,63.3,2,0,2,3, TBD ,0,27,8,0,100,79.3,58.6,79,76.7
04M635,2008,0,0,0,0,0,0,0,74,81,112,150,107,92,50,0,666,65,1,57,0,0,41,5,21,0.4,32.6,65.3,1.2,0.4,53.4,46.6,90.6/81.9,94.7,68.2,6,10,16,40, TBD ,0,48,13,1,100,62.5,45.8,73,97.3
04M680,2008,0,0,0,0,0,0,0,0,0,0,86,130,74,42,1,333,0,73,6,0,0,21,2,2,0.3,30.6,66.1,0.9,2.1,49.8,50.2,83.9,95.9,74.4,2,2,37,32, TBD ,0,25,6,2,100,52,32,84,100
04M695,2008,0,0,0,0,0,0,0,0,0,0,11,60,68,55,2,196,8,17,11,0,0,0,1,4,0,56.1,41.3,1,1.5,41.8,58.2,77.9,96.5,65.7,1,0,32,6, TBD ,0,15,6,1,100,46.7,40,60,98.7
04M825,2008,0,0,0,0,0,0,0,110,116,143,0,0,0,0,0,369,14,36,15,0,0,45,0,2,0.3,23,74.6,1.6,0.6,50.8,49.2,91.8,98.1,68.5,2,6,75,11,0,0,29,6,1,100,44.8,37.9,93,91.8
04M964,2008,17,29,27,21,35,30,26,0,0,0,0,0,0,0,4,189,26,10,12,0,0,0,0,0,1.6,54,32.8,2.1,9.5,53.4,46.6,94.1,91.6,61.1,7,0,0,1,0,0,20,8,2,100,85,65,90,97
05M030,2008,31,49,54,57,46,46,48,43,0,0,0,0,0,0,14,388,35,36,28,0,0,40,0,0,0.8,58.2,38.9,0.8,1.3,52.8,47.2,91.7,85.9,73.1,23,4,25,7,0,0,54,26,8,100,81.5,77.8,91,80.4
05M036,2008,104,126,163,144,0,0,0,0,0,0,0,0,0,0,6,543,35,23,20,42,0,37,0,0,0.4,56.5,39,1.8,2.2,49.7,50.3,,94.4,87.8,18,3,0,0,0,0,50,15,6,100,88,70,88,88
05M046,2008,54,81,116,106,116,114,113,101,0,0,0,0,0,0,5,806,38,16,44,13,0,73,0,1,0.1,60.3,38.7,0.1,0.7,52.2,47.8,90.2,91.6,97.9,16,5,0,5,0,0,63,14,9,100,73,61.9,81,86.5
05M092,2008,15,29,48,54,51,59,60,0,0,0,0,0,0,0,7,323,56,4,16,0,0,38,8,0,0.3,71.8,24.8,3.1,0,51.4,48.6,91.2,88.5,90,9,2,0,0,0,0,38,26,8,100,81.6,78.9,87,97
05M123,2008,53,75,80,84,51,65,89,90,0,0,0,0,0,0,2,589,20,45,21,0,0,103,7,3,0.3,65.7,32.8,0.3,0.8,46.5,53.5,90.2,85.1,76.6,12,3,3,35,0,0,50,12,3,100,74,74,80,91.4
05M125,2008,0,20,8,7,103,104,89,70,0,0,0,0,0,0,3,404,30,14,37,0,5,50,0,0,0.2,62.4,33.4,3,1,54.5,45.5,91.2,91.4,80.4,9,4,3,11,0,0,38,10,3,100,68.4,63.2,87,96
05M129,2008,33,63,68,85,70,68,55,58,0,0,0,0,0,0,1,501,35,5,29,28,0,42,0,0,0.6,52.5,45.3,1.4,0.2,50.5,49.5,90.9,91,72.2,6,5,7,10,0,0,43,11,5,97.7,72.1,67.4,81,97.2
05M133,2008,17,40,49,62,36,38,46,57,0,0,0,0,0,0,0,345,35,22,18,0,0,26,7,2,0,75.6,22.3,0.9,1.2,53,47,90.6,89.4,80.9,13,4,17,10,0,0,32,7,2,100,84.4,78.1,94,91.3
05M154,2008,43,51,75,79,68,72,82,0,0,0,0,0,0,0,1,471,45,0,30,0,0,55,0,0,0,72.8,24.6,2.1,0.4,48.6,51.4,91.2,92.3,85.6,12,1,39,19,0,0,43,10,7,100,67.4,60.5,79,95.9
05M161,2008,38,92,107,123,133,118,126,111,0,0,0,0,0,0,0,848,0,40,63,44,62,250,0,0,0.1,14.7,82.2,1.2,1.8,52.8,47.2,92.3,91.3,94.4,21,23,0,2,0,0,73,17,5,100,75.3,63,84,90.1
05M172,2008,0,0,0,0,0,0,0,0,128,151,0,0,0,0,5,284,34,16,32,17,0,23,1,8,0.7,58.8,37.3,1.1,2.1,61.6,38.4,86.5,94.7,70.9,8,5,24,73,0,0,44,11,2,100,50,56.8,89,90.8
05M175,2008,35,46,49,61,83,64,51,0,0,0,0,0,0,0,0,389,0,12,14,0,0,36,0,0,0.5,79.7,16.7,1.8,1.3,47.8,52.2,91.1,92.4,75.3,9,4,9,12,0,0,30,15,4,100,66.7,36.7,73,90
05M194,2008,0,22,45,53,50,64,61,0,0,0,0,0,0,0,0,295,19,14,13,0,0,42,0,0,0.7,76.6,21.7,0,1,53.6,46.4,90.1,92.6,76.6,11,4,1,26,0,0,33,10,1,100,60.6,60.6,76,80.6
05M195,2008,0,0,0,0,0,0,0,115,275,332,0,0,0,0,11,733,76,24,36,65,0,63,16,23,0.1,43,54.6,1.4,1,51.6,48.4,89.1,88.4,79.1,21,20,28,30,0,0,76,24,4,100,53.9,38.2,63,91.8
05M197,2008,14,42,65,88,71,83,98,94,0,0,0,0,0,0,1,556,68,13,34,0,0,35,0,1,0.4,71.4,25.7,1.1,1.4,54.9,45.1,89,90.4,70.5,8,4,4,7,0,0,52,14,5,100,73.1,65.4,83,92.9
05M200,2008,36,65,105,88,116,91,88,89,0,0,0,0,0,0,5,683,57,6,38,43,18,46,6,3,0.3,66.5,31.2,0.3,1.8,52.3,47.7,91,85.3,68,25,8,5,6,0,0,65,22,2,100,63.1,61.5,78,83.3
05M283,2008,0,0,0,0,0,0,0,0,0,0,115,91,86,38,4,334,11,0,26,0,0,14,0,6,0.6,54.5,43.4,0.6,0.9,39.2,60.8,78.2,93.3,64.6,3,3,37,20, TBD ,0,18,5,2,100,16.7,50,83,88.9
05M285,2008,0,0,0,0,0,0,0,0,0,0,91,56,14,47,0,208,2,0,4,0,0,3,0,69,1,61.5,36.5,0,1,40.9,59.1,,75.9,49,3,1,0,3, TBD ,0,21,14,1,100,63.6,54.5,73,81
05M286,2008,0,0,0,0,0,0,0,26,77,90,0,0,0,0,0,193,22,0,25,0,0,11,2,3,0.5,60.1,38.3,0.5,0.5,62.7,37.3,93.4,79.6,80.5,18,1,11,20,0,0,20,6,2,100,65,65,75,78.3
05M302,2008,0,0,0,0,0,0,0,78,102,111,0,0,0,0,0,291,0,17,3,0,0,24,1,1,0.3,38.8,59.8,0.3,0.7,40.9,59.1,94.5,97.9,72.5,1,4,3,8,0,0,21,5,0,100,14.3,4.8,62,100
05M304,2008,0,0,0,0,0,0,0,0,0,0,126,113,86,86,3,414,0,44,4,0,0,28,4,15,0,33.6,62.3,1,3.1,51.4,48.6,87.3,98.2,62.7,1,10,6,7, TBD ,0,28,9,0,100,21.4,14.3,68,78.4
05M317,2008,0,0,0,0,0,0,0,34,89,70,0,0,0,0,2,195,9,16,6,0,0,5,2,1,0,76.9,20,1,2,46.7,53.3,90.7,89.6,62.7,2,3,26,44,0,0,15,5,0,100,26.7,26.7,53,100
05M318,2008,0,29,34,36,40,0,0,0,0,0,0,0,0,0,0,139,0,0,1,0,0,0,0,0,0,93.5,5,0,1.4,52.5,47.5,,96.3,60.6,0,0,0,0,0,0,12,2,0,100,33.3,50,100,75
05M344,2008,0,0,0,0,0,0,0,60,103,58,0,0,0,0,0,221,7,0,15,0,0,7,1,1,0.4,74.7,22.6,1.4,0.9,52,48,87.5,92.2,72.7,9,3,32,38,0,0,17,4,0,100,0,35.3,76,66.7
05M362,2008,0,0,0,0,0,0,1,93,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,1.1,11.7,52.1,10.6,24.5,52.1,47.9,96.6,96.8,60,0,1,0,0,0,0,6,1,0,100,0,16.7,50,87.5
05M367,2008,0,0,0,0,0,0,0,0,82,0,93,0,0,0,0,175,0,11,14,8,0,0,0,2,0,69.1,29.7,0.6,0.6,38.9,61.1,90.5/85.6,97.6,60,3,3,0,27, TBD ,0,12,4,0,100,0,25,83,66.7
05M369,2008,0,0,0,0,0,0,0,0,0,0,89,59,0,0,0,148,0,0,12,0,0,0,0,3,0.7,57.4,41.2,0.7,0,18.2,81.8,82.7,95.7,74.1,2,1,11,14, TBD ,0,11,3,0,100,0,18.2,64,85.4
05M469,2008,0,0,0,0,0,0,0,38,39,50,96,76,80,47,0,426,13,4,20,0,0,0,3,15,0.7,79.1,19.5,0,0.7,34.5,65.5,90.8/82.1,92.3,63.8,1,1,7,42, TBD ,0,38,8,0,100,44.7,63.2,84,80.2
05M499,2008,0,0,0,0,0,0,0,86,155,208,234,302,224,206,2,1417,38,15,20,0,0,8,7,2,0.1,71.9,26.3,1.1,0.6,49.3,50.7,92.6/89.2,95.4,63.6,5,1,22,10, TBD ,0,94,18,2,100,62.1,45.3,71,89.5
05M670,2008,0,0,0,0,0,0,0,0,92,87,114,97,99,86,1,576,0,31,23,0,0,10,0,4,0.4,73.1,24.6,1,0.9,46.5,53.5,93.6/88.4,96.5,65.2,2,1,17,14, TBD ,0,36,8,0,97.2,55.6,47.2,72,82.5
05M685,2008,0,0,0,0,0,0,0,0,0,0,241,145,108,44,6,544,41,0,67,0,0,63,8,47,0.4,50.6,48.4,0.4,0.4,52.4,47.6,78.7,92.1,61,2,7,4,11, TBD ,0,40,12,0,100,60,60,80,78.8
06M004,2008,35,93,101,104,98,138,76,0,0,0,0,0,0,0,2,647,25,0,32,166,0,151,0,0,0.8,9,89,0,1.2,53.2,46.8,91.1,90.6,91.3,12,18,18,18,0,0,57,19,2,100,66.7,63.2,84,91.5
06M005,2008,0,118,171,129,128,159,142,0,0,0,0,0,0,0,7,854,37,27,51,205,0,195,9,0,0,6.1,93.3,0,0.6,51.6,48.4,93.8,92.4,86.7,1,14,38,14,0,0,76,22,4,100,68.4,63.2,89,93.1
06M008,2008,0,86,110,117,94,103,100,0,0,0,0,0,0,0,2,612,35,11,35,95,115,107,15,0,0.2,4.4,94.3,0.6,0.5,52.6,47.4,92.7,93.5,89.6,3,29,26,7,0,0,53,19,2,100,71.7,69.8,91,91.7
06M018,2008,0,30,39,47,47,38,50,58,60,66,0,0,0,0,3,438,12,6,20,65,137,19,0,6,0.2,0.7,97.5,0.9,0.7,48.4,51.6,92.7,89.7,87.1,0,29,28,7,0,0,36,12,2,100,55.6,63.9,81,96.9
06M028,2008,64,149,172,160,137,155,157,0,0,0,0,0,0,0,2,996,44,8,47,178,147,153,0,0,0,16.6,81.5,0.5,1.4,53.4,46.6,92,93.7,83.1,21,17,18,13,0,0,83,23,2,100,61.4,53,75,95.2
06M048,2008,16,81,87,102,93,89,99,0,0,0,0,0,0,0,10,577,8,61,47,27,83,149,24,0,0,3.5,93.4,0.7,2.4,53.4,46.6,93.4,93.3,85.3,2,14,9,2,0,0,59,24,7,100,71.2,37.3,75,92.5
06M052,2008,0,0,0,0,0,0,89,220,276,323,0,0,0,0,14,922,71,17,44,162,0,74,33,13,0,3,95.7,0.8,0.5,51,49,94,93.3,82.3,6,50,0,18,0,0,89,21,1,100,82,61.8,84,84.8
06M098,2008,53,109,101,112,133,107,0,0,0,0,0,0,0,0,3,618,32,6,26,138,45,133,8,0,0,1.6,97.6,0.3,0.5,52.3,47.7,93.2,92.7,100,8,25,24,15,0,0,51,17,0,100,84.3,80.4,90,77.5
06M115,2008,0,94,127,138,125,131,130,123,0,0,0,0,0,0,0,868,31,8,67,71,160,155,0,1,0,2.5,95.8,0.2,1.4,50.2,49.8,92.4,92.6,78.1,3,7,96,13,0,0,67,20,3,100,71.6,64.2,90,100
06M128,2008,32,85,137,140,120,152,148,0,0,0,0,0,0,0,3,817,38,18,54,241,0,147,6,0,0.1,4.5,93.4,1.1,0.9,52,48,93.1,92.1,84.2,20,24,34,3,0,0,74,22,1,98.6,70.3,71.6,86,96.9
06M132,2008,0,116,155,166,157,150,167,0,0,0,0,0,0,0,0,911,47,20,68,201,179,198,0,0,0,1.1,97.6,0.8,0.6,50.4,49.6,92.2,94.2,92.3,9,6,38,6,0,0,77,26,4,98.7,81.8,70.1,87,100
06M143,2008,0,0,0,0,0,0,0,173,317,344,0,0,0,0,25,859,65,12,72,195,0,133,0,12,0,1.8,97.1,0.2,0.9,56.3,43.7,90.3,95.2,84.4,14,53,0,22,0,0,75,26,3,100,84,69.3,84,99.3
06M152,2008,35,114,121,124,173,208,194,0,0,0,0,0,0,0,1,970,32,28,63,171,16,180,0,0,0,1.4,97.7,0.2,0.6,49.9,50.1,92.8,94.2,74.9,7,6,11,20,0,0,86,22,2,100,75.6,68.6,86,96
06M153,2008,51,127,172,174,136,185,138,0,0,0,0,0,0,0,21,1004,38,13,45,142,131,191,0,0,0.5,19.1,79,0.3,1.1,47.9,52.1,92,92.4,89.4,17,33,2,0,0,0,79,30,4,100,79.7,57,85,84.2
06M173,2008,58,127,100,112,128,147,144,0,0,0,0,0,0,0,5,821,30,21,52,26,88,213,18,0,0,2.8,92.2,1.8,3.2,52.1,47.9,92.9,90.9,74.1,5,20,5,3,0,0,66,18,4,100,72.7,62.1,85,97.7
06M178,2008,34,94,84,52,0,0,0,0,0,0,0,0,0,0,3,267,0,29,10,46,3,30,0,0,0.4,1.9,80.9,1.9,15,52.4,47.6,,92.3,67.7,0,2,0,0,0,0,30,16,0,100,60,43.3,73,91.5
06M187,2008,29,72,74,83,73,80,70,81,98,130,0,0,0,0,0,790,0,0,22,0,0,101,13,0,0,1.7,52.8,6.6,38.9,48.9,51.1,95,98.4,61.1,8,4,0,3,0,0,59,15,2,100,61,50.8,75,98.4
06M189,2008,36,179,169,184,177,178,191,0,0,0,0,0,0,0,0,1114,24,9,65,148,41,389,2,0,0,0.3,99.2,0.1,0.4,47.8,52.2,93.9,94.2,93.4,13,33,28,19,0,0,84,23,3,100,67.9,63.1,81,100
06M192,2008,36,46,52,67,62,69,71,59,0,0,0,0,0,0,6,468,24,9,33,108,0,116,0,1,0,6.4,92.3,0.4,0.8,51.9,48.1,93.5,90.8,93.5,2,17,46,17,0,0,46,18,1,100,76.1,78.3,89,86.3
06M210,2008,17,53,47,36,39,27,24,62,39,33,0,0,0,0,0,377,11,7,15,0,196,0,0,0,0,2.4,97.4,0,0.3,48.8,51.2,93.4,97.8,91.4,1,19,12,3,0,0,31,6,1,100,38.7,32.3,84,78.3
06M218,2008,0,0,0,0,0,0,0,98,227,200,0,0,0,0,5,530,20,14,38,88,0,107,10,8,0,3.8,95.1,0,1.1,54.7,45.3,88.8,92.3,67.8,16,32,17,40,0,0,53,8,3,98.1,35.8,35.8,68,75.8
06M223,2008,0,0,0,0,0,48,79,103,99,99,0,0,0,0,0,428,8,0,0,0,0,6,0,0,0.2,4.7,84.4,6.1,4.7,41.8,58.2,96.5,99.3,62,0,0,0,5,0,0,25,5,0,100,64,68,76,95.7
06M278,2008,0,37,47,45,39,49,69,60,63,63,0,0,0,0,0,472,25,0,52,0,0,129,14,1,0,4,89,1.3,5.7,55.1,44.9,93.7,98.1,81.5,1,3,4,9,0,0,40,5,2,100,57.5,55,88,63.8
06M293,2008,0,0,0,0,0,0,0,83,87,71,0,0,0,0,0,241,0,22,19,0,0,41,5,0,0,5,93.4,0.4,1.2,47.3,52.7,94.8,98.7,83.9,3,3,0,0,0,0,20,5,0,100,10,20,65,91.4
06M311,2008,0,55,48,43,45,46,39,47,35,40,0,0,0,0,0,398,24,0,21,0,117,0,0,0,0,3,85.2,2.5,9.3,47.2,52.8,94.3,92.6,70.2,3,2,9,0,0,0,33,11,3,100,63.6,45.5,82,76.2
06M314,2008,0,47,47,52,44,45,42,0,0,0,0,0,0,0,0,277,0,19,15,0,0,55,0,0,0.7,5.8,68.6,6.1,18.8,51.3,48.7,92.6,93.8,44.1,0,4,0,0,0,0,22,8,0,100,77.3,50,95,84.2
06M319,2008,0,0,0,0,0,0,1,149,157,160,0,0,0,0,5,472,34,0,38,88,0,61,6,7,0.2,8.5,90,0.4,0.8,54.7,45.3,92.9,93.7,87.6,8,29,19,12,0,0,42,10,4,100,23.8,28.6,71,79.3
06M321,2008,0,0,0,0,0,0,0,90,112,148,0,0,0,0,2,352,24,8,21,65,0,45,4,4,0.3,16.2,82.4,0.8,0.3,53.7,46.3,90.9,89.4,80.7,1,25,15,28,0,0,31,11,2,100,25.8,41.9,58,84.5
06M322,2008,0,0,0,0,0,0,0,143,162,206,0,0,0,0,0,511,23,21,18,52,0,118,9,8,0,4.5,94.9,0,0.6,56,44,90.3,92.3,61.4,3,45,4,35,0,0,45,9,2,100,35.6,15.6,51,96
06M324,2008,0,0,0,0,0,0,1,109,114,153,1,0,0,0,17,395,34,0,39,98,0,47,0,5,0.8,9.9,88.1,0.5,0.8,53.4,46.6,96,93,77.1,7,32,1,0, TBD ,0,34,16,2,100,20.6,29.4,74,96
06M325,2008,0,76,65,84,69,70,67,43,0,0,0,0,0,0,1,475,22,13,34,111,0,80,4,1,0,5.9,92,0.6,1.5,54.5,45.5,92.5,96.4,92.7,3,5,1,19,0,0,44,8,1,100,56.8,27.3,57,88.1
06M326,2008,0,0,0,0,0,0,0,114,183,164,0,0,0,0,3,464,12,23,25,0,0,177,0,17,0,18.8,80.4,0.2,0.6,57.8,42.2,89.7,89.3,95.7,7,30,35,11,0,0,40,9,0,100,22.5,50,80,100
06M328,2008,0,0,0,0,0,0,0,143,189,232,0,0,0,0,3,567,32,0,39,123,43,59,30,11,0.4,12,86.8,0.5,0.4,59.1,40.9,91.6,95,94.8,38,55,36,14,0,0,44,11,2,100,34.1,38.6,68,98.1
06M346,2008,0,0,0,0,0,0,0,100,95,72,0,0,0,0,1,268,8,0,31,0,0,68,0,3,0,3.7,95.2,0,1.1,50.4,49.6,93.4,97.7,81.9,5,8,16,18,0,0,18,4,0,100,0,11.1,28,48.8
06M348,2008,0,0,0,0,0,0,0,71,88,76,0,0,0,0,0,235,0,9,13,0,0,57,4,1,0.4,1.3,98.3,0,0,54,46,93.8,97.8,87,4,11,2,5,0,0,20,3,0,100,0,30,65,89.7
06M349,2008,0,0,0,0,0,0,0,29,70,80,0,0,0,0,0,179,0,0,0,176,0,0,0,7,0,0,100,0,0,52.5,47.5,95.5,96,83.6,3,44,4,4,0,0,14,4,0,100,0,21.4,64,76.9
06M366,2008,0,22,21,20,46,0,0,0,0,0,0,0,0,0,1,110,0,0,8,0,0,26,0,0,0,0.9,72.7,5.4,20.9,49.1,50.9,,98.1,60,0,4,0,0,0,0,8,2,3,100,0,12.5,75,87.5
06M368,2008,0,34,43,51,44,45,15,0,0,0,0,0,0,0,0,232,0,0,3,0,0,37,0,0,0,38.4,52.2,1.7,7.8,43.1,56.9,93.2,95.1,60,5,1,0,0,0,0,15,3,1,100,0,40,53,100
06M462,2008,0,0,0,0,0,0,0,0,0,0,197,177,143,126,45,688,48,0,35,279,0,1,20,13,0.4,6,92.2,0.6,0.9,57.7,42.3,88.1,93.6,79.1,2,54,49,7, TBD ,0,46,17,0,100,61.7,44.7,85,81.9
06M463,2008,0,0,0,0,0,0,0,0,0,0,235,221,114,86,6,662,15,24,31,0,0,190,16,37,0.2,5.3,94,0.6,0,57.7,42.3,83.4,95.9,90,3,39,67,18, TBD ,0,43,12,0,100,63.6,47.7,80,91.9
06M467,2008,0,0,0,0,0,0,0,0,0,0,229,208,133,75,15,660,16,19,37,18,0,156,0,19,0.2,4.8,93.5,0.6,0.9,48.8,51.2,88.2,96,84,2,30,74,8, TBD ,0,43,13,0,100,73.3,62.2,87,97.5
06M468,2008,0,0,0,0,0,0,0,0,0,0,214,210,152,95,0,671,1,47,52,158,0,45,0,15,0.3,8.2,89.9,0.6,1,50.4,49.6,84.8,97.9,68.2,0,39,69,5, TBD ,0,49,13,1,98,67.3,44.9,86,94.2
06M528,2008,0,0,0,0,0,0,0,93,90,85,0,0,0,0,0,268,8,0,15,0,0,43,0,0,0,3.4,96.6,0,0,33.6,66.4,92.8,97.4,86.4,1,12,14,11,0,0,20,7,0,100,35,55,90,93.8
06M540,2008,0,0,0,0,0,0,0,0,0,0,491,339,239,395,32,1496,72,5,35,0,0,33,18,53,0.3,32.5,63.4,3.2,0.5,47,53,88.7,98,64.2,4,3,203,5, TBD ,0,91,24,1,100,75.3,55.9,78,84.3
06M552,2008,0,0,0,0,0,0,0,0,0,0,119,131,78,91,0,419,0,0,0,399,0,0,0,26,0,0,100,0,0,46.5,53.5,89.6,96.4,86.2,14,71,0,0, TBD ,0,27,8,0,96.6,69,69,83,86.4
06M692,2008,0,0,0,0,0,0,0,0,0,0,125,118,111,117,0,471,0,0,2,0,0,0,0,0,0.2,17,33.3,26.5,22.9,61.2,38.8,94.3,99.8,13.2,1,1,0,1, TBD ,0,38,10,0,100,51.3,43.6,74,97.8
07X001,2008,29,85,123,118,89,99,116,0,0,0,0,0,0,0,0,659,22,17,45,109,0,57,0,0,0.6,20.6,78,0.3,0.5,45.4,54.6,91.4,86.9,98.9,32,13,28,5,0,0,47,15,3,100,36.2,38.3,72,97.8
07X005,2008,36,89,98,100,81,96,80,0,0,0,0,0,0,0,1,581,38,0,28,94,0,32,2,0,0.7,28.6,69.9,0.3,0.5,47.5,52.5,91.6,92.4,89.2,15,11,18,11,0,0,50,15,1,100,68,48,80,92.9
07X018,2008,18,87,68,87,91,87,86,0,0,0,0,0,0,0,1,525,30,21,33,65,0,34,12,0,0,33.3,65.5,0.4,0.8,52.6,47.4,91.2,93.2,80.4,12,6,4,0,0,0,43,17,3,100,53.5,51.2,72,100
